,nr_mac_throughput_ul,nr_rlc_throughput_ul,nr_pdcp_throughput_ul,nr_sdap_throughput_ul,dual_connectivity_mac_throughput_ul,dual_connectivity_rlc_throughput_ul,dual_connectivity_pdcp_throughput_ul,nr_phy_throughput_ul,dual_connectivity_phy_throughput_ul,nr_phy_throughput_ul_high,nr_mac_throughput_ul_high,nr_rlc_throughput_ul_high,nr_pdcp_throughput_ul_high,nr_phy_throughput_ul_low,nr_mac_throughput_ul_low,nr_rlc_throughput_ul_low,nr_pdcp_throughput_ul_low,bpsk_ratio_ul_s,nr_avg_phr,qpsk_ratio_ul_s,16qam_ratio_ul_s,64qam_ratio_ul_s,256qam_ratio_ul_s,nr_ul_avg_mcs,prb_num_ul_s,nr_pusch_tb_size_average_s,nr_pusch_bler,nr_ul_total_ack_s,nr_ul_total_nack_s,nr_ul_total_tb_count,nr_no_retx_prb_num_ul_s,nr_ul_no_retx_avg_mcs,nr_pusch_initial_bler,nr_ul_init_tb_count,nr_pdsch_bler,nr_pusch_residual_bler,nr_ul_residual_tb_count,most_rank_ul_s,high_rank_ul_s,total_rank_count_ul_s,rank1_count_ul_s,rank2_count_ul_s,rank3_count_ul_s,rank4_count_ul_s,rank5_count_ul_s,rank6_count_ul_s,rank7_count_ul_s,rank8_count_ul_s,nr_avg_rank_ul_s,nr_ri,nr_ri1_count_s,nr_ri2_count_s,nr_ri3_count_s,nr_ri4_count_s,nr_most_ri_s,nr_high_ri_s,nr_dlul_transperiodicity_Pattern1,nr_reference_subspacing,nr_dlul_transperiodicity_Pattern2,nr_dl_slots_pattern1,nr_dl_symbols_pattern1,nr_ul_symbols_pattern1,nr_ul_slots_Pattern1,nr_dl_slots_pattern2,nr_dl_symbols_pattern2,nr_ul_symbols_pattern2,nr_ul_slots_Pattern2,nr_ul_dl_slot_ratio,nr_ul_format0_0_count_s,nr_ul_format0_1_count_s,nr_ul_format2_2_count_s,nr_ul_format2_3_count_s,nr_ul_format0_0_avg_mcs_s,nr_ul_format0_1_avg_mcs_s,prb_num_ul_slot,most_modulation_ul_s,high_modulation_ul_s,nr_pdcch_ul_grantcount,nr_total_txpower,endc_total_txpower,nr_pusch_txpower,nr_pusch_pathloss
nr_mac_throughput_ul,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr_rlc_throughput_ul,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr_pdcp_throughput_ul,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr_sdap_throughput_ul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dual_connectivity_mac_throughput_ul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dual_connectivity_rlc_throughput_ul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dual_connectivity_pdcp_throughput_ul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr_phy_throughput_ul,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
dual_connectivity_phy_throughput_ul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nr_phy_throughput_ul_high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
